epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,16701.3,1.40562,0.65379,0.00388,0.77765,0.89052,0.87384,0.51435,1.23882,0.68261,0.00491,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,16890.8,1.40967,0.6548,0.00383,0.77533,0.88966,0.87468,0.51577,1.23894,0.68449,0.00487,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,17080.2,1.40669,0.63909,0.00381,0.8243,0.8278,0.87381,0.51818,1.23576,0.6829,0.00482,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,17269.5,1.40338,0.64848,0.00378,0.81574,0.82917,0.87495,0.51806,1.23167,0.6823,0.00481,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,17458.3,1.39576,0.64494,0.0038,0.83179,0.82678,0.87552,0.52032,1.23219,0.67949,0.00481,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,17647.3,1.3901,0.64251,0.00374,0.82267,0.83167,0.87613,0.5215,1.23148,0.68299,0.00483,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,17836.4,1.39006,0.63124,0.00379,0.77229,0.89526,0.87612,0.52129,1.2303,0.68368,0.0048,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,18025.3,1.39217,0.64031,0.00371,0.78016,0.89073,0.87687,0.52396,1.23215,0.67827,0.00485,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,18214.5,1.3825,0.63969,0.00373,0.78143,0.88472,0.87471,0.5211,1.23174,0.68468,0.00484,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,18403,1.37058,0.6247,0.00366,0.78328,0.87864,0.87479,0.51984,1.23156,0.68437,0.00478,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,18592,1.38026,0.63045,0.00367,0.78233,0.88363,0.87559,0.51998,1.2305,0.67958,0.00476,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,18780,1.37156,0.62379,0.00367,0.77667,0.89084,0.87496,0.51843,1.23231,0.6787,0.00474,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,18968.7,1.38335,0.62136,0.00364,0.77618,0.89535,0.87378,0.5164,1.23384,0.68323,0.00472,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,19156.4,1.37201,0.62688,0.00366,0.77435,0.89599,0.8727,0.51503,1.23822,0.68695,0.00478,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,19344.4,1.36731,0.61728,0.00359,0.77757,0.89386,0.87203,0.51514,1.23871,0.68936,0.00482,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,19532.4,1.36252,0.61582,0.00364,0.77896,0.89031,0.87166,0.51642,1.23684,0.68937,0.00484,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,19720.3,1.36072,0.60984,0.00361,0.7797,0.88864,0.87278,0.51664,1.23732,0.68606,0.00484,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,19908,1.35917,0.61116,0.00358,0.78013,0.889,0.87277,0.51521,1.23902,0.6856,0.00484,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,20096,1.35622,0.61117,0.00363,0.78161,0.87631,0.87292,0.51611,1.23963,0.68512,0.00486,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,20285.1,1.35541,0.60928,0.0036,0.77281,0.88625,0.87048,0.51497,1.23688,0.69081,0.00485,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,20472.2,1.34766,0.60336,0.00355,0.77282,0.89686,0.873,0.5166,1.2364,0.69043,0.00483,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,20660.9,1.34194,0.60555,0.00353,0.77246,0.89774,0.87271,0.51702,1.23812,0.68902,0.00483,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,20850.1,1.35273,0.59895,0.00357,0.81774,0.84592,0.87383,0.51733,1.23688,0.68702,0.00484,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,21038.5,1.33768,0.5968,0.00351,0.80395,0.85838,0.87436,0.51797,1.23722,0.68566,0.00481,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
